"","X","rater_id","rated_ID","Group","presItem","prestigeRatings","id","Age","Sex","Score","OverConf","nominated","initInf","initLrn","Liked","Inflntl","ScoreC","OverConfC","raterId","ratedID","grpID","itemID"
"157","17.R6rev",10,6,2,"R6rev",6,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,8
"161","17.R8",10,6,2,"R8",6,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,9
"165","17.R13",10,6,2,"R13",5,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,2
"169","17.R14",10,6,2,"R14",6,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,3
"173","17.R15",10,6,2,"R15",7,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,4
"177","17.R17rev",10,6,2,"R17rev",7,17,43,1,27,0,0,1,0,1,0.777777777777778,-1.83891213389121,-0.211297071129707,1,94,10,5
"1","1.R1",6,7,2,"R1",6,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,1
"5","1.R2rev",6,7,2,"R2rev",6,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,6
"9","1.R4",6,7,2,"R4",6,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,7
"13","1.R6rev",6,7,2,"R6rev",7,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,8
"17","1.R8",6,7,2,"R8",6,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,9
"21","1.R13",6,7,2,"R13",5,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,2
"25","1.R14",6,7,2,"R14",6,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,3
"29","1.R15",6,7,2,"R15",7,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,4
"33","1.R17rev",6,7,2,"R17rev",7,1,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,99,105,10,5
"74","10.R1",8,7,2,"R1",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,1
"78","10.R2rev",8,7,2,"R2rev",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,6
"82","10.R4",8,7,2,"R4",5,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,7
"86","10.R6rev",8,7,2,"R6rev",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,8
"90","10.R8",8,7,2,"R8",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,9
"94","10.R13",8,7,2,"R13",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,2
"98","10.R14",8,7,2,"R14",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,3
"102","10.R15",8,7,2,"R15",7,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,4
"106","10.R17rev",8,7,2,"R17rev",6,10,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,118,105,10,5
"110","14.R1",9,7,2,"R1",6,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,1
"114","14.R2rev",9,7,2,"R2rev",6,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,6
"118","14.R4",9,7,2,"R4",4,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,7
"122","14.R6rev",9,7,2,"R6rev",7,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,8
"126","14.R8",9,7,2,"R8",7,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,9
"130","14.R13",9,7,2,"R13",6,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,2
"134","14.R14",9,7,2,"R14",4,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,3
"138","14.R15",9,7,2,"R15",4,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,4
"142","14.R17rev",9,7,2,"R17rev",7,14,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,127,105,10,5
"146","18.R1",10,7,2,"R1",5,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,1
"150","18.R2rev",10,7,2,"R2rev",5,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,6
"154","18.R4",10,7,2,"R4",4,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,7
"158","18.R6rev",10,7,2,"R6rev",6,18,64,0,24,1,1,0,0,0.895833333333333,0.708333333333333,-4.83891213389121,0.788702928870293,1,105,10,8
