"","Rater_ID","Name","position","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R2rev","R6rev","R10rev","R12rev","R17rev","dominanceMean","prestigeMean","Psum","Pprop","Dsum","Dprop"
"52",63,"David Attenborough","BBC Presenter",6,3,4,6,4,2,2,6,4,4,4,3,7,7,6,1,1,5,6,4,5,7,3.5,6.22222222222222,56,0.87037037037037,28,0.416666666666667
"53",64,"Boris Johnson","Foreign Sec",1,7,7,5,7,6,7,4,7,1,4,1,4,4,4,6,7,1,2,7,7,1,6.5,2.88888888888889,26,0.314814814814815,52,0.916666666666667
"54",65,"Jeremy Hunt","Health Cabinet",2,6,6,4,7,6,6,2,6,1,3,2,3,3,1,6,6,2,2,7,6,2,5.875,2.33333333333333,21,0.222222222222222,47,0.8125
"55",66,"Linda","Mayor",4,3,3,5,2,3,1,5,2,4,5,4,5,5,5,1,2,5,5,4,4,6,2.75,5,45,0.666666666666667,22,0.291666666666667
"56",70,"Theresa May","Prime minister",4,4,7,1,7,4,7,4,7,4,5,1,5,7,4,1,5,4,4,4,7,3,5.625,4,36,0.5,45,0.770833333333333
"57",71,"Boris Johnson","F. minister",6,6,6,5,7,6,6,5,7,7,5,4,6,6,6,7,2,2,2,1,4,6,5.375,4.88888888888889,44,0.648148148148148,43,0.729166666666667
"58",72,"Theresa May","Prime Minister",3,6,7,4,6,3,7,4,6,5,4,2,3,4,3,1,7,2,5,3,6,1,5,3.22222222222222,29,0.37037037037037,40,0.666666666666667
"59",73,"Prince Charles","Duke of Cornwall",4,6,7,7,7,4,7,5,7,1,7,1,7,7,4,4,4,2,4,7,7,4,6.625,4.88888888888889,44,0.648148148148148,53,0.9375
"60",74,"Ghandi","leader",5,3,6,6,5,4,1,7,6,1,4,2,6,5,5,2,2,5,4,7,6,6,4.625,5.44444444444444,49,0.740740740740741,37,0.604166666666667
"61",75,"Jo Feather","Taught sailing after the war, got MBE",7,5,7,6,6,5,1,7,5,7,5,6,7,7,7,2,2,3,3,1,2,6,3.625,5.88888888888889,53,0.814814814814815,29,0.4375
"62",76,"Rupaul Charles","Drag Queen",5,2,7,7,6,2,3,5,7,1,5,2,7,7,6,2,1,6,6,7,6,7,5.375,6.22222222222222,56,0.87037037037037,43,0.729166666666667
"63",77,"Traian Bruma","Head of alter999tive university in Romania",6,1,1,7,1,1,1,7,1,7,2,7,6,7,6,1,1,7,7,1,1,7,1.125,6.66666666666667,60,0.944444444444444,9,0.0208333333333333
"64",78,"Tarja Halona","former president of Finland",5,3,4,5,2,1,1,6,3,5,3,2,6,7,6,1,1,5,7,3,6,7,2.875,6,54,0.833333333333333,23,0.3125
"65",79,"Penny HC Dinh","Youtuber",5,4,4,6,2,3,1,5,3,4,2,3,6,5,5,2,3,4,5,4,5,5,2.875,5.11111111111111,46,0.685185185185185,23,0.3125
"66",80,"Theresa May ","Prime Minister",2,5,5,5,5,4,1,3,5,6,2,2,2,3,2,1,5,3,4,2,6,3,3.375,3,27,0.333333333333333,27,0.395833333333333
"67",81,"Ben Bradshaw","MP",5,4,5,3,4,3,5,4,6,2,1,2,3,6,5,3,2,4,5,6,6,6,4.5,4.55555555555556,41,0.592592592592593,36,0.583333333333333
"68",82,"Beyonce","Singer",7,2,3,7,1,2,1,7,1,4,4,2,7,7,4,2,2,6,6,4,6,6,2.75,6.33333333333333,57,0.888888888888889,22,0.291666666666667
"69",83,"Winston Churchill","ex Prime minister",7,4,4,6,3,2,5,7,6,2,5,4,6,7,4,3,3,4,6,6,4,5,4.5,5.77777777777778,52,0.796296296296296,36,0.583333333333333
"70",84,"Cyndi Lauper","Singer/ human rights activist",6,2,4,4,2,2,1,6,5,2,3,2,7,7,6,4,3,6,6,6,6,5,3.875,5.88888888888889,53,0.814814814814815,31,0.479166666666667
"71",85,"Nicolae Ceausescu","President (Former)",4,2,7,6,7,3,6,4,6,2,7,1,2,2,4,7,5,6,5,6,7,3,6.625,4,36,0.5,53,0.9375
"72",86,"Jeremy Corbyn","Leader of the labour party",6,5,3,5,3,2,2,7,2,6,4,4,6,6,6,1,2,3,6,2,4,6,2.625,5.66666666666667,51,0.777777777777778,21,0.270833333333333
"73",87,"Theresa May","Prime Minister",1,1,4,1,7,1,6,1,4,1,4,1,6,4,1,1,4,7,7,7,7,4,5,3.55555555555556,32,0.425925925925926,40,0.666666666666667
"74",88,"Sarah Newton","M.P.",6,4,5,7,4,1,1,7,1,1,1,1,7,7,7,1,1,4,7,7,7,7,3.375,6.55555555555556,59,0.925925925925926,27,0.395833333333333
"75",89,"Theresa May"," Prime minister",4,4,7,7,4,4,6,7,7,1,4,1,5,7,7,4,4,4,4,7,7,4,5.75,5.44444444444444,49,0.740740740740741,46,0.791666666666667
"76",90,"Jeremy Corbyn","Labour Leader",4,3,3,2,4,3,6,4,3,4,1,2,5,6,4,3,4,5,5,4,6,4,3.75,4.33333333333333,39,0.555555555555556,30,0.458333333333333
"77",91,"Rodrigo Duterte","President of Phillipines",1,7,7,5,5,2,7,4,7,1,3,1,3,4,4,6,6,1,6,7,7,2,6.125,3.33333333333333,30,0.388888888888889,49,0.854166666666667
"78",92,"David Attenborough","tv presenter/environmentalist/wildlife activist",6,2,3,4,2,2,1,6,3,3,3,3,7,7,7,1,2,6,6,5,5,6,2.875,6.11111111111111,55,0.851851851851852,23,0.3125
