"","X.2","X.1","X","Rater_ID","X999me","position","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R2rev","R6rev","R10rev","R12rev","R17rev","dominanceMean","prestigeMean","Psum","Pprop","Dsum","Dprop"
"1",1,1,1,6,"David Attenborough","Broadcaster",7,1,2,6,1,1,1,7,2,6,1,2,7,7,2,1,1,7,7,2,6,7,2,6.33333333333333,57,0.888888888888889,16,0.166666666666667
"2",2,2,2,7,"David Attenborough","Broadcaster",7,1,1,7,1,1,1,7,1,4,1,1,7,7,1,1,1,7,7,4,7,7,2.125,6.33333333333333,57,0.888888888888889,17,0.1875
"3",3,3,3,8,"Jane Goodall","Primatologist",7,1,2,6,2,1,1,7,2,7,2,6,7,6,5,1,1,7,7,1,2,7,1.625,6.55555555555556,59,0.925925925925926,13,0.104166666666667
"4",4,4,4,9,"Theresa May","Prime Minister",4,5,7,5,7,4,5,3,4,5,4,1,3,4,2,2,6,3,4,3,7,2,4.875,3.33333333333333,30,0.388888888888889,39,0.645833333333333
"5",5,5,5,10,"Theresa May","Prime Minister",3,6,6,4,6,6,6,3,5,3,4,2,3,4,1,4,6,2,2,5,6,2,5.25,2.66666666666667,24,0.277777777777778,42,0.708333333333333
"6",6,6,6,11,"Caroline Lucas","Leader Green Party",5,2,1,4,4,4,2,3,2,2,3,3,4,4,2,1,2,6,4,6,5,6,3,4.22222222222222,38,0.537037037037037,24,0.333333333333333
"7",7,7,7,12,"Rick Stein","Celeb Chef",4,3,1,7,1,5,1,4,1,3,2,2,7,6,3,1,2,5,3,5,6,6,2.25,5,45,0.666666666666667,18,0.208333333333333
"8",8,8,8,13,"Jeremy Corbyn","Leader of opposition",6,2,4,4,6,2,6,6,6,1,4,2,6,6,6,2,2,6,6,7,6,6,5.125,5.77777777777778,52,0.796296296296296,41,0.6875
"9",9,9,9,14,"John Pollard","Councillor",4,4,4,5,3,4,2,4,1,2,1,2,4,5,6,1,1,4,4,6,6,7,3,4.77777777777778,43,0.62962962962963,24,0.333333333333333
"10",10,10,10,15,"Patrick Gale","Author",7,4,3,6,1,3,1,6,2,2,1,4,6,7,5,1,3,4,5,6,4,5,2.375,5.66666666666667,51,0.777777777777778,19,0.229166666666667
"11",11,11,11,16,"Queen Elizabeth","Queen",7,2,5,6,5,1,1,7,5,1,7,1,7,7,5,3,1,6,7,7,7,7,5,6.55555555555556,59,0.925925925925926,40,0.666666666666667
"12",12,12,12,17,"Mary Berry","Cook",5,1,1,5,1,1,1,6,1,2,3,3,7,7,2,1,1,7,7,6,5,7,2.375,5.88888888888889,53,0.814814814814815,19,0.229166666666667
"13",13,13,13,18,"Winston Churchill","Wartime PM",6,3,5,7,5,2,6,7,7,1,5,2,7,7,5,2,2,5,6,7,6,6,5.375,6.22222222222222,56,0.87037037037037,43,0.729166666666667
"14",14,14,14,19,"Mary Holborough","High Sherrif",7,1,4,7,1,1,1,7,1,7,1,6,7,6,6,1,1,7,7,1,2,7,1.5,6.77777777777778,61,0.962962962962963,12,0.0833333333333333
"15",15,15,15,20,"Grenville Chapple","Mayor",4,5,6,5,7,6,5,4,6,5,6,2,4,6,6,5,3,3,2,3,6,5,5.5,4.33333333333333,39,0.555555555555556,44,0.75
"16",16,16,16,21,"Frank Whittal","Inventor",1,6,3,6,4,6,2,7,4,5,4,4,7,7,5,4,3,2,2,3,4,5,3.5,4.66666666666667,42,0.611111111111111,28,0.416666666666667
"17",17,17,17,22,"Colin Cheesman","Neighbour",6,1,5,6,3,1,1,7,3,3,2,2,7,7,7,1,2,7,7,5,6,6,3.25,6.66666666666667,60,0.944444444444444,26,0.375
"18",18,18,18,23,"Winston Churchill","Prime Minister",6,4,7,6,4,2,4,6,5,1,4,2,7,6,4,2,2,4,6,7,6,6,4.875,5.66666666666667,51,0.777777777777778,39,0.645833333333333
"19",19,19,20,25,"Margaret Thatcher","Prime Minister",5,3,6,6,6,3,6,5,6,1,5,1,6,7,6,4,6,5,5,7,7,2,5.875,5.22222222222222,47,0.703703703703704,47,0.8125
"20",20,20,21,26,"Shanne Sands","Poet",7,3,1,1,1,1,1,7,1,2,1,1,7,7,5,1,5,5,7,6,7,3,2.375,5.44444444444444,49,0.740740740740741,19,0.229166666666667
"21",21,21,22,27,"Jeremy Corbyn","Politician",4,6,2,3,3,4,2,6,2,4,1,3,5,3,1,1,2,2,4,4,5,6,2.5,3.77777777777778,34,0.462962962962963,20,0.25
"22",22,22,23,28,"Cornelius Oliver","Councillor",6,2,1,5,2,2,2,6,2,6,3,4,5,6,6,1,1,6,6,2,4,7,2.125,5.88888888888889,53,0.814814814814815,17,0.1875
"23",23,23,25,30,"Friedensreich Hundertwasser","Artist",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,2.5,3,27,0.333333333333333,20,0.25
"24",24,24,27,32,"Vicky M","Green politician",6,4,3,5,2,1,1,6,6,1,5,5,7,7,6,1,4,4,7,7,3,4,3.5,5.77777777777778,52,0.796296296296296,28,0.416666666666667
"25",25,25,28,33,"Sir Humphry Davy","Statue",5,1,1,7,4,3,1,6,4,5,3,1,5,7,7,7,1,7,5,3,7,7,3.75,6.22222222222222,56,0.87037037037037,30,0.458333333333333
"26",26,26,29,34,"Phil Eaton","Traveller&Gypsy Liason Officer",6,6,4,7,1,5,1,5,5,4,4,4,4,4,7,4,5,2,3,4,4,3,3.375,4.55555555555556,41,0.592592592592593,27,0.395833333333333
"27",27,27,30,35,"Jeremy Corbyn","Labour Party Leader",5,2,2,4,3,2,1,5,2,5,4,4,6,5,4,1,1,6,6,3,4,7,2.5,5.33333333333333,48,0.722222222222222,20,0.25
"28",28,28,31,36,"Jeremy Corbyn","Leader Labour Party",6,2,2,6,5,2,3,5,7,1,5,2,5,6,5,1,6,6,6,7,6,2,4.5,5.22222222222222,47,0.703703703703704,36,0.583333333333333
"29",29,29,32,37,"Steve Cannon","Advocacy Support Worker",6,1,1,2,2,1,1,3,1,6,1,1,5,6,7,1,2,7,7,2,7,6,2,5.44444444444444,49,0.740740740740741,16,0.166666666666667
"30",30,30,33,38,"Michael Tyade","Musician",6,2,3,4,2,2,1,4,1,3,1,6,7,7,4,1,3,6,6,5,2,5,2,5.44444444444444,49,0.740740740740741,16,0.166666666666667
"31",31,31,34,39,"Sarah Newton","MP Falmouth",4,4,7,3,6,5,4,3,6,2,2,2,4,5,5,4,2,4,3,6,6,6,5.125,4.11111111111111,37,0.518518518518518,41,0.6875
"32",32,32,35,40,"Jeremy Corbyn","Labour Party Leader",6,2,6,7,4,1,5,7,4,5,3,2,6,7,5,1,2,6,7,3,6,6,4,6.33333333333333,57,0.888888888888889,32,0.5
"33",33,33,36,41,"Tony Blair","past PM",1,7,7,4,7,7,7,1,7,1,4,1,7,7,1,4,7,1,1,7,7,1,6.25,2.66666666666667,24,0.277777777777778,50,0.875
"34",34,34,37,42,"Prince William","Heir to the Throne",1,1,1,4,2,1,1,7,4,4,4,4,6,4,1,1,1,7,7,4,4,7,2.625,4.88888888888889,44,0.648148148148148,21,0.270833333333333
"35",35,36,39,44,"Theresa May","PM",4,5,7,6,6,5,6,3,7,6,7,2,3,3,1,6,6,3,3,2,6,2,5.875,3.11111111111111,28,0.351851851851852,47,0.8125
