Rater_ID	name	position	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17
98	Aade le Pichon	Mother	4	2	2	3	2	1	1	5	2	3	1	5	5	6	6	2	1
67	Andrew Mitchell	Councillor	6	na	4	6	2	3	1	5	2	4	1	2	6	5	4	1	1
68	Andrew Mitchell	Councillor	7	na	4	6	2	1	1	6	3	7	2	1	6	na	7	1	1
45	Andrew Neil	Broadcaster	2	5	5	6	7	4	7	5	7	1	5	1	5	6	2	5	3
130	Anne Carlisle	VC of Falmouth Uni	3	4	6	3	6	6	6	2	6	1	3	2	5	5	4	3	6
52	Arthur Scargill	Union leader	4	3	6	5	7	4	7	5	6	1	3	2	6	6	4	5	4
54	B. Portman	X Mayor	5	3	4	5	6	6	6	5	3	3	2	5	5	6	6	2	1
81	Ben Bradshaw	MP	5	4	5	3	4	3	5	4	6	2	1	2	3	6	5	3	2
138	Ben Towe	Head Teacher	5	3	5	4	2	2	1	5	6	5	2	2	4	5	5	1	2
122	Beppe Grillo	Politician	6	6	7	6	7	5	6	6	7	1	2	1	6	5	5	2	4
82	Beyonce	Singer	7	2	3	7	1	2	1	7	1	4	4	2	7	7	4	2	2
47	Bob		4	3	7	5	6	3	5	6	7	2	6	1	5	5	5	3	3
119	Bob Devereux	"Poet, Playwrite"	4	5	3	4	7	1	4	5	3	6	7	6	6	6	4	1	4
50	Boris Johnson	Foreign Secretary	1	7	7	1	7	7	7	1	7	1	1	1	1	6	1	1	7
57	Boris Johnson	Foreign Secretary	4	6	7	4	7	6	7	4	7	1	4	1	4	5	2	4	6
59	Boris Johnson	Foreign Secretary	2	7	6	4	7	1	7	2	7	1	4	1	3	6	1	7	7
64	Boris Johnson	Foreign Sec	1	7	7	5	7	6	7	4	7	1	4	1	4	4	4	6	7
71	Boris Johnson	F. minister	6	6	6	5	7	6	6	5	7	7	5	4	6	6	6	7	2
134	Boris Johnson	Foreign Minister	1	7	7	5	7	6	7	2	7	1	2	1	4	3	2	6	6
29	Brad Brown	"Creator of ""more to life"" programme"	6	2	1	1	1	1	1	7	1	3	1	na	7	7	7	2	2
118	Brother Roger	Late Friar of Taize	7	1	1	6	1	1	1	7	1	4	1	7	5	7	6	1	1
157	Captain Holt	Captain of Police (Brooklyn 99)	6	5	4	7	2	1	2	6	4	2	5	2	5	7	5	3	4
140	Carl Sagan	"SETI, attack on superstition, novel Contact"	4	1	1	4	4	4	1	4	1	3	1	4	4	7	7	1	4
11	Caroline Lucas	Leader Green Party	5	2	1	4	4	4	2	3	2	2	3	3	4	4	2	1	2
56	Christopher Gray	"Director of Music, Cathedral"	7	4	7	7	7	2	5	7	7	1	7	1	7	7	5	4	5
159	Christopher Perkins	Lead story developer		1	2	7	2	1	1	7	6	5	2	6	7	7	7	2	1
22	Colin Cheesman	Neighbour	6	1	5	6	3	1	1	7	3	3	2	2	7	7	7	1	2
28	Cornelius Oliver	Councillor	6	2	1	5	2	2	2	6	2	6	3	4	5	6	6	1	1
84	Cyndi Lauper	Singer/ human rights activist	6	2	4	4	2	2	1	6	5	2	3	2	7	7	6	4	3
6	David Attenborough	Broadcaster	7	1	2	6	1	1	1	7	2	6	1	2	7	7	2	1	1
7	David Attenborough	Broadcaster	7	1	1	7	1	1	1	7	1	4	1	1	7	7	1	1	1
53	David Attenborough	Tv presenter 	7	4	1	7	1	7	1	7	1	1	1	2	7	7	1	1	4
58	David Attenborough	Conservationist/presenter	7	1	1	5	1	1	1	7	1	7	1	na	7	6	1	1	1
63	David Attenborough	BBC Presenter	6	3	4	6	4	2	2	6	4	4	4	3	7	7	6	1	1
92	David Attenborough	tv presenter/environmentalist/wildlife activist	6	2	3	4	2	2	1	6	3	3	3	3	7	7	7	1	2
95	David Attenborough	Presenter	6	2	4	6	2	1	1	6	2	2	3	4	6	7	4	1	2
124	David Attenborough	Presenter/ecologist	6	1	3	6	3	1	1	7	3	4	3	4	7	7	7	1	1
147	David Attenborough	Naturalist	7	2	1	7	2	5	1	7	5	3	4	6	7	7	7	1	2
156	David Attenborough	Tv presenter 	7	2	4	7	2	1	2	7	3	4	4	5	6	7	6	1	2
158	Deborah Francis-White	Leads the Guilty Feminist Podcast	5	2	3	2	1	2	1	4	2	3	1	1	5	4	5	1	4
155	Dennis Skinner	MP For Bolsever	4	4	4	4	3	4	4	4	2	1	4	4	6	6	1	1	4
110	Donald Trump	Prime Minister	4	4	7	7	7	3	7	1	7	1	7	1	7	6	1	6	4
133	Dr Nigel Hewitt	Director of a Charity	6	6	2	4	1	2	1	7	1	4	2	6	7	7	5	1	2
136	Dr Peter Rodgers	GP/chairman of tennis club	6	2	1	5	1	2	2	6	1	6	2	6	7	6	6	1	1
125	Eddie Calvo	Govenor of Guam	5	6	7	7	5	2	4	6	6	5	4	2	7	7	4	4	5
132	Eddie Home	Football Club Manager	7	2	4	6	4	1	3	7	5	1	5	4	6	7	3	1	1
94	Edward Davey	MP	6	2	4	5	3	2	2	6	2	4	1	4	6	6	6	3	2
55	Enoch Powell	Politician	5	5	2	4	1	5	1	5	1	6	1	6	1	2	1	3	1
21	Frank Whittal	Inventor	1	6	3	6	4	6	2	7	4	5	4	4	7	7	5	4	3
30	Friedensreich Hundertwasser	Artist	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
126	George Eustace	MP	5	6	7	6	2	2	3	5	5	3	5	2	7	7	7	2	2
117	George Orwell	Author	3	5	1	7	1	5	1	4	1	1	7	7	4	4	1	6	5
74	Ghandi	leader	5	3	6	6	5	4	1	7	6	1	4	2	6	5	5	2	2
60	Grayson Perry	Artist/potter	2	6	1	4	1	2	2	4	2	1	4	4	6	6	1	4	4
20	Grenville Chapple	Mayor	4	5	6	5	7	6	5	4	6	5	6	2	4	6	6	5	3
160	Henry Bew	Head of English Department	7	2	2	6	1	1	1	6	2	7	2	3	7	6	7	1	1
62	Jamie Shiner	Business Leader	6	2	6	6	3	2	2	6	4	6	3	7	6	7	2	2	2
8	Jane Goodall	Primatologist	7	1	2	6	2	1	1	7	2	7	2	6	7	6	5	1	1
141	Jenny	Artist/musician	6	4	6	6	6	2	5	5	5	2	4	3	7	7	6	4	2
13	Jeremy Corbyn	Leader of opposition	6	2	4	4	6	2	6	6	6	1	4	2	6	6	6	2	2
27	Jeremy Corbyn	Politician	4	6	2	3	3	4	2	6	2	4	1	3	5	3	1	1	2
35	Jeremy Corbyn	Labour Party Leader	5	2	2	4	3	2	1	5	2	5	4	4	6	5	4	1	1
36	Jeremy Corbyn	Leader Labour Party	6	2	2	6	5	2	3	5	7	1	5	2	5	6	5	1	6
40	Jeremy Corbyn	Labour Party Leader	6	2	6	7	4	1	5	7	4	5	3	2	6	7	5	1	2
86	Jeremy Corbyn	Leader of the labour party	6	5	3	5	3	2	2	7	2	6	4	4	6	6	6	1	2
90	Jeremy Corbyn	Labour Leader	4	3	3	2	4	3	6	4	3	4	1	2	5	6	4	3	4
127	Jeremy Corbyn	labour Party Leader	5	5	1	2	1	4	1	2	1	5	1	4	3	3	1	4	6
137	Jeremy Corbyn	Labour Party Leader	7	2	4	6	5	2	5	6	6	7	6	5	7	6	7	2	4
145	Jeremy Corbyn	Leader of the opposition	4	4	3	4	2	4	1	4	4	6	3	4	4	4	5	4	3
146	Jeremy Corbyn	Leader of the labour party	6	2	4	5	4	2	3	7	1	5	7	4	7	7	7	1	1
148	Jeremy Corbyn	Leader of opposition	7	7	5	7	4	4	3	7	5	5	5	5	6	7	7	3	3
65	Jeremy Hunt	Health Cabinet	2	6	6	4	7	6	6	2	6	1	3	2	3	3	1	6	6
93	JK Rowling	Author	6	1	2	2	1	4	1	6	1	7	1	3	7	6	4	1	2
75	Jo Feather	"Taught sailing after the war, got MBE"	7	5	7	6	6	5	1	7	5	7	5	6	7	7	7	2	2
109	John Goodman	Newquay Facebook Community Admin	6	1	1	7	1	1	2	6	2	2	2	5	6	6	6	1	1
14	John Pollard	Councillor	4	4	4	5	3	4	2	4	1	2	1	2	4	5	6	1	1
120	Johnny Depp	Celebrity	5	2	1	7	2	2	4	7	4	3	1	2	6	6	1	5	1
49	Lesley	manageress of Hayle community centre	7	2	1	7	1	1	1	7	1	4	6	1	7	6	7	1	1
51	Lesley Chenels	Day care centre manager	7	7	4	7	7	7	7	7	6	7	6	7	7	7	7	3	7
66	Linda	Mayor	4	3	3	5	2	3	1	5	2	4	5	4	5	5	5	1	2
123	Mancelo Rebelo Sousa	Republic President	6	3	3	na	2	1	2	6	2	1	4	4	6	6	6	2	2
24	Marconi For Radio	Early Communications	na	na	na	na	na	na	na	na	na	na	na	na	7	na	na	na	na
25	Margaret Thatcher	Prime Minister	5	3	6	6	6	3	6	5	6	1	5	1	6	7	6	4	6
100	Mark Ashton	Activist	6	4	6	6	6	1	4	6	4	2	5	3	6	4	5	3	4
17	Mary Berry	Cook	5	1	1	5	1	1	1	6	1	2	3	3	7	7	2	1	1
19	Mary Holborough	High Sherrif	7	1	4	7	1	1	1	7	1	7	1	6	7	6	6	1	1
149	Michael Gove	M.P.	2	6	6	4	5	5	6	2	5	2	5	2	2	4	1	4	4
38	Michael Tyade	Musician	6	2	3	4	2	2	1	4	1	3	1	6	7	7	4	1	3
43	Monty Pearse	Step Father	6	6	5	6	5	2	2	6	4	6	5	4	na	7	6	2	2
151	Mrs May	Prime Minister	1	3	7	4	7	4	5	2	6	5	4	1	3	2	1	1	4
129	Mrs Sanderson	Headmistress of local school	6	2	4	6	4	2	2	6	2	2	2	2	6	6	5	1	1
128	Mrs x	Headteacher of primary school	4	1	1	6	5	1	1	4	1	4	1	1	5	5	3	2	2
48	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
46	Nicholas Smith	Leader of local group	7	1	4	5	1	1	1	7	2	1	1	1	7	6	5	1	1
85	Nicolae Ceausescu	President (Former)	4	2	7	6	7	3	6	4	6	2	7	1	2	2	4	7	5
96	Oscar Wilde	author/activist/dandy	5	6	7	6	7	4	6	6	6	2	3	2	6	5	3	3	2
